phrog_num	phrog_annot	phrog_category
166	tail protein	tail
167	tail length tape measure protein	tail
168	clamp loader of DNA polymerase	"DNA, RNA and nucleotide metabolism"
169	tail completion or Neck1 protein	connector
170	PhoH-like phosphate starvation-inducible	other
171	NinG/ Rap DNA junction specific endonuclease	"DNA, RNA and nucleotide metabolism"
172	head scaffolding protein	head and packaging
173	nucleoside triphosphate pyrophosphohydrolase	"DNA, RNA and nucleotide metabolism"
174	dCMP deaminase	"DNA, RNA and nucleotide metabolism"
175	holin	lysis
176	tail terminator	connector
177	baseplate hub	tail
178	high light inducible protein	other
179	tail terminator	connector
180	baseplate wedge subunit	tail
181	endolysin	lysis
182	photosystem II D1	"moron, auxiliary metabolic gene and host takeover"
183	tail chaperone protein	tail
184	baseplate hub	tail
185	tail tube protein	tail
186	DnaD-like helicase loader	"DNA, RNA and nucleotide metabolism"
187	head-tail adaptor	connector
188	tail fiber assembly protein	tail
189	RecA filament binding protein DinI	"DNA, RNA and nucleotide metabolism"
190	Holliday junction resolvase	"DNA, RNA and nucleotide metabolism"
191	CII-like transcriptional activator	transcription regulation
192	DNA polymerase exonuclease subunit	"DNA, RNA and nucleotide metabolism"
193	head maturation protease	head and packaging
194	head scaffolding protein	head and packaging
195	head-tail adaptor	connector
196	baseplate hub	tail
197	Zot-like toxin	"moron, auxiliary metabolic gene and host takeover"
198	holin	lysis
199	holin	lysis
200	lipoprotein	other
201	Panton-Valentine leukocicin	"DNA, RNA and nucleotide metabolism"
202	distal tail protein Dit	tail
203	baseplate wedge subunit	tail
204	NA	unknown function
205	tail sheath	tail
206	head scaffolding protein	head and packaging
207	head maturation protease	head and packaging
208	NA	unknown function
209	portal protein	head and packaging
210	NA	unknown function
211	head-tail adaptor Ad2	connector
212	major head protein	head and packaging
213	portal protein	head and packaging
214	Rz-like spanin	lysis
215	structural protein with Ig domain	head and packaging
216	integrase	integration and excision
217	holin	lysis
218	head closure	connector
219	baseplate wedge subunit	tail
220	minor head protein and DNA pilot	head and packaging
221	metallo-phosphoesterase	other
222	tail completion or Neck1 protein	connector
223	DNA polymerase processivity factor	"DNA, RNA and nucleotide metabolism"
224	single strand DNA binding protein	"DNA, RNA and nucleotide metabolism"
225	clamp loader of DNA polymerase	"DNA, RNA and nucleotide metabolism"
226	minor tail protein	tail
227	tail sheath stabilizer	tail
228	Arc-like repressor	transcription regulation
229	MazG-like pyrophosphatase	other
230	baseplate tail tube cap	tail
231	UvsY-like recombination mediator	"DNA, RNA and nucleotide metabolism"
232	baseplate wedge subunit	tail
233	head scaffolding protein	head and packaging
234	late sigma transcription factor	transcription regulation
235	NA	unknown function
