phrog_num	phrog_annot	phrog_category
30494	NA	unknown function
30495	NA	unknown function
30496	NA	unknown function
30497	NA	unknown function
30498	NA	unknown function
30499	NA	unknown function
30500	NA	unknown function
30501	NA	unknown function
30502	NA	unknown function
30503	NA	unknown function
30504	NA	unknown function
30505	NA	unknown function
30506	NA	unknown function
30507	NA	unknown function
30508	NA	unknown function
30509	collagen like minor tail	tail
30510	NA	unknown function
30511	NA	unknown function
30512	NA	unknown function
30513	NA	unknown function
30514	NA	unknown function
30515	NA	unknown function
30516	NA	unknown function
30517	NA	unknown function
30518	NA	unknown function
30519	NA	unknown function
30520	NA	unknown function
30521	NA	unknown function
30522	NA	unknown function
30523	NA	unknown function
30524	NA	unknown function
30525	NA	unknown function
30526	NA	unknown function
30527	NA	unknown function
30528	NA	unknown function
30529	NA	unknown function
30530	NA	unknown function
30531	NA	unknown function
30532	tail protein	tail
30533	NA	unknown function
30534	NA	unknown function
30535	NA	unknown function
30536	NA	unknown function
30537	NA	unknown function
30538	NA	unknown function
30539	NA	unknown function
30540	NA	unknown function
30541	NA	unknown function
30542	NA	unknown function
30543	tail length tape measure protein	tail
30544	NA	unknown function
30545	NA	unknown function
30546	NA	unknown function
30547	NA	unknown function
30548	NA	unknown function
30549	NA	unknown function
30550	NA	unknown function
30551	NA	unknown function
30552	Erf-like ssDNA annealing protein	"DNA, RNA and nucleotide metabolism"
30553	NA	unknown function
30554	NA	unknown function
30555	NA	unknown function
30556	NA	unknown function
30557	NA	unknown function
30558	NA	unknown function
30559	NA	unknown function
30560	NA	unknown function
30561	NA	unknown function
30562	NA	unknown function
30563	NA	unknown function
30564	NA	unknown function
30565	NA	unknown function
30566	NA	unknown function
30567	NA	unknown function
30568	NA	unknown function
30569	NA	unknown function
30570	NA	unknown function
30571	NA	unknown function
30572	NA	unknown function
30573	NA	unknown function
30574	NA	unknown function
30575	NA	unknown function
30576	baseplate protein	tail
30577	NA	unknown function
30578	NA	unknown function
30579	NA	unknown function
30580	NA	unknown function
30581	NA	unknown function
30582	NA	unknown function
30583	NA	unknown function
30584	NA	unknown function
30585	DNA repair protein	"DNA, RNA and nucleotide metabolism"
30586	NA	unknown function
30587	NA	unknown function
30588	NA	unknown function
30589	NA	unknown function
30590	NA	unknown function
30591	NA	unknown function
30592	NA	unknown function
30593	NA	unknown function
30594	NA	unknown function
30595	NA	unknown function
30596	NA	unknown function
30597	NA	unknown function
30598	NA	unknown function
30599	transcriptional regulator	transcription regulation
30600	NA	unknown function
30601	NA	unknown function
30602	NA	unknown function
30603	NA	unknown function
30604	NA	unknown function
30605	NA	unknown function
30606	NA	unknown function
30607	NA	unknown function
30608	NA	unknown function
30609	NA	unknown function
30610	NA	unknown function
30611	NA	unknown function
30612	NA	unknown function
30613	NA	unknown function
30614	NA	unknown function
30615	NA	unknown function
30616	NA	unknown function
30617	NA	unknown function
30618	NA	unknown function
30619	NA	unknown function
30620	NA	unknown function
30621	NA	unknown function
30622	NA	unknown function
30623	NA	unknown function
30624	NA	unknown function
30625	NA	unknown function
30626	NA	unknown function
30627	NA	unknown function
30628	NA	unknown function
30629	NA	unknown function
30630	NA	unknown function
30631	NA	unknown function
30632	NA	unknown function
30633	NA	unknown function
30634	NA	unknown function
30635	NA	unknown function
30636	NA	unknown function
30637	NA	unknown function
30638	NA	unknown function
30639	NA	unknown function
30640	NA	unknown function
30641	NA	unknown function
30642	NA	unknown function
30643	NA	unknown function
30644	NA	unknown function
30645	NA	unknown function
30646	NA	unknown function
30647	NA	unknown function
30648	NA	unknown function
30649	NA	unknown function
30650	NA	unknown function
30651	NA	unknown function
30652	NA	unknown function
30653	NA	unknown function
30654	NA	unknown function
30655	virion structural protein	head and packaging
30656	NA	unknown function
30657	NA	unknown function
30658	NA	unknown function
30659	NA	unknown function
30660	NA	unknown function
30661	NA	unknown function
30662	NA	unknown function
30663	NA	unknown function
30664	NA	unknown function
30665	NA	unknown function
30666	NA	unknown function
30667	NA	unknown function
30668	NA	unknown function
30669	replication initiation protein	"DNA, RNA and nucleotide metabolism"
30670	NA	unknown function
30671	NA	unknown function
30672	NA	unknown function
30673	NA	unknown function
30674	NA	unknown function
30675	NA	unknown function
30676	NA	unknown function
30677	tail protein	tail
30678	NA	unknown function
30679	DNA polymerase processivity factor	"DNA, RNA and nucleotide metabolism"
30680	NA	unknown function
30681	NA	unknown function
30682	NA	unknown function
30683	NA	unknown function
30684	NA	unknown function
30685	NA	unknown function
30686	NA	unknown function
30687	NA	unknown function
30688	NA	unknown function
30689	NA	unknown function
30690	NA	unknown function
30691	NA	unknown function
30692	NA	unknown function
30693	NA	unknown function
30694	NA	unknown function
30695	NA	unknown function
30696	NA	unknown function
30697	NA	unknown function
30698	NA	unknown function
30699	NA	unknown function
30700	NA	unknown function
30701	NA	unknown function
30702	NA	unknown function
30703	portal protein	head and packaging
30704	NA	unknown function
30705	NA	unknown function
30706	NA	unknown function
30707	NA	unknown function
30708	NA	unknown function
30709	NA	unknown function
30710	NA	unknown function
30711	NA	unknown function
30712	NA	unknown function
30713	NA	unknown function
30714	NA	unknown function
30715	NA	unknown function
30716	NA	unknown function
30717	NA	unknown function
30718	NA	unknown function
30719	NA	unknown function
30720	NA	unknown function
30721	NA	unknown function
30722	NA	unknown function
30723	NA	unknown function
30724	NA	unknown function
30725	NA	unknown function
30726	NA	unknown function
30727	NA	unknown function
30728	NA	unknown function
30729	NA	unknown function
30730	NA	unknown function
30731	NA	unknown function
30732	NA	unknown function
30733	NA	unknown function
30734	NA	unknown function
30735	NA	unknown function
30736	NA	unknown function
30737	NA	unknown function
30738	NA	unknown function
30739	NA	unknown function
30740	minor tail protein	tail
30741	NA	unknown function
30742	tail fiber protein	tail
30743	NA	unknown function
30744	NA	unknown function
30745	NA	unknown function
30746	NA	unknown function
30747	NA	unknown function
30748	NA	unknown function
30749	NA	unknown function
30750	NA	unknown function
30751	minor head protein	head and packaging
30752	NA	unknown function
30753	NA	unknown function
30754	NA	unknown function
30755	NA	unknown function
30756	NA	unknown function
30757	NA	unknown function
30758	NA	unknown function
30759	NA	unknown function
30760	NA	unknown function
30761	NA	unknown function
30762	NA	unknown function
30763	NA	unknown function
30764	NA	unknown function
30765	NA	unknown function
30766	NA	unknown function
30767	virion structural protein	head and packaging
30768	NA	unknown function
30769	NA	unknown function
30770	NA	unknown function
30771	NA	unknown function
30772	NA	unknown function
30773	NA	unknown function
30774	NA	unknown function
30775	NA	unknown function
30776	NA	unknown function
30777	NA	unknown function
30778	NA	unknown function
30779	NA	unknown function
30780	NA	unknown function
30781	NA	unknown function
30782	NA	unknown function
30783	NA	unknown function
30784	NA	unknown function
30785	major head protein	head and packaging
30786	NA	unknown function
30787	NA	unknown function
30788	NA	unknown function
30789	NA	unknown function
30790	NA	unknown function
30791	NA	unknown function
30792	NA	unknown function
30793	NA	unknown function
30794	NA	unknown function
30795	NA	unknown function
30796	NA	unknown function
30797	NA	unknown function
30798	NA	unknown function
30799	NA	unknown function
30800	NA	unknown function
30801	NA	unknown function
30802	NA	unknown function
30803	NA	unknown function
30804	NA	unknown function
30805	NA	unknown function
30806	NA	unknown function
30807	NA	unknown function
30808	NA	unknown function
30809	NA	unknown function
30810	NA	unknown function
30811	NA	unknown function
30812	NA	unknown function
30813	NA	unknown function
30814	NA	unknown function
30815	NA	unknown function
30816	NA	unknown function
30817	NA	unknown function
30818	NA	unknown function
30819	NA	unknown function
30820	NA	unknown function
30821	NA	unknown function
30822	NA	unknown function
30823	NA	unknown function
30824	NA	unknown function
30825	NA	unknown function
30826	NA	unknown function
30827	NA	unknown function
30828	NA	unknown function
30829	NA	unknown function
30830	virion structural protein	head and packaging
30831	NA	unknown function
30832	RIIA lysis inhibitor	lysis
30833	NA	unknown function
30834	NA	unknown function
30835	NA	unknown function
30836	NA	unknown function
30837	NA	unknown function
30838	NA	unknown function
30839	NA	unknown function
30840	NA	unknown function
30841	NA	unknown function
30842	NA	unknown function
30843	NA	unknown function
30844	NA	unknown function
30845	NA	unknown function
30846	NA	unknown function
30847	NA	unknown function
30848	NA	unknown function
30849	NA	unknown function
30850	NA	unknown function
30851	NA	unknown function
30852	NA	unknown function
30853	NA	unknown function
30854	NA	unknown function
30855	NA	unknown function
30856	NA	unknown function
30857	NA	unknown function
30858	NA	unknown function
30859	NA	unknown function
30860	NA	unknown function
30861	NA	unknown function
30862	NA	unknown function
30863	NA	unknown function
30864	NA	unknown function
30865	NA	unknown function
30866	NA	unknown function
30867	NA	unknown function
30868	NA	unknown function
30869	NA	unknown function
30870	NA	unknown function
30871	NA	unknown function
30872	NA	unknown function
30873	NA	unknown function
30874	NA	unknown function
30875	NA	unknown function
30876	NA	unknown function
30877	NA	unknown function
30878	NA	unknown function
30879	NA	unknown function
30880	NA	unknown function
30881	NA	unknown function
30882	NA	unknown function
30883	NA	unknown function
30884	NA	unknown function
30885	NA	unknown function
30886	NA	unknown function
30887	NA	unknown function
30888	NA	unknown function
30889	NA	unknown function
30890	NA	unknown function
30891	NA	unknown function
30892	NA	unknown function
30893	NA	unknown function
30894	NA	unknown function
30895	NA	unknown function
30896	NA	unknown function
30897	NA	unknown function
30898	NA	unknown function
30899	NA	unknown function
30900	NA	unknown function
30901	NA	unknown function
30902	NA	unknown function
30903	NA	unknown function
30904	NA	unknown function
30905	NA	unknown function
30906	NA	unknown function
30907	NA	unknown function
30908	NA	unknown function
30909	NA	unknown function
30910	NA	unknown function
30911	NA	unknown function
30912	NA	unknown function
30913	NA	unknown function
30914	NA	unknown function
30915	NA	unknown function
30916	NA	unknown function
30917	NA	unknown function
30918	NA	unknown function
30919	NA	unknown function
30920	NA	unknown function
30921	NA	unknown function
30922	NA	unknown function
30923	virion structural protein	head and packaging
30924	NA	unknown function
30925	NA	unknown function
30926	NA	unknown function
30927	NA	unknown function
30928	NA	unknown function
30929	NA	unknown function
30930	NA	unknown function
30931	NA	unknown function
30932	NA	unknown function
30933	NA	unknown function
30934	NA	unknown function
30935	NA	unknown function
30936	NA	unknown function
30937	NA	unknown function
30938	NA	unknown function
30939	ribonucleotide reductase	"DNA, RNA and nucleotide metabolism"
30940	NA	unknown function
30941	NA	unknown function
30942	NA	unknown function
30943	NA	unknown function
30944	NA	unknown function
30945	NA	unknown function
30946	NA	unknown function
30947	NA	unknown function
30948	NA	unknown function
30949	NA	unknown function
30950	NA	unknown function
30951	NA	unknown function
30952	NA	unknown function
30953	NA	unknown function
30954	NA	unknown function
30955	NA	unknown function
30956	NA	unknown function
30957	NA	unknown function
30958	NA	unknown function
30959	NA	unknown function
30960	NA	unknown function
30961	NA	unknown function
30962	NA	unknown function
30963	NA	unknown function
30964	NA	unknown function
30965	NA	unknown function
30966	NA	unknown function
30967	NA	unknown function
30968	NA	unknown function
30969	DnaD-like helicase loader	"DNA, RNA and nucleotide metabolism"
30970	NA	unknown function
30971	clamp loader of DNA polymerase	"DNA, RNA and nucleotide metabolism"
30972	NA	unknown function
30973	NA	unknown function
30974	NA	unknown function
30975	NA	unknown function
30976	NA	unknown function
30977	NA	unknown function
30978	NA	unknown function
30979	NA	unknown function
30980	NA	unknown function
30981	NA	unknown function
30982	NA	unknown function
30983	NA	unknown function
30984	NA	unknown function
30985	NA	unknown function
30986	NA	unknown function
30987	NA	unknown function
30988	NA	unknown function
30989	NA	unknown function
30990	NA	unknown function
30991	tail protein	tail
30992	NA	unknown function
30993	NA	unknown function
30994	minor tail protein	tail
30995	NA	unknown function
30996	NA	unknown function
30997	NA	unknown function
30998	NA	unknown function
30999	NA	unknown function
31000	NA	unknown function
31001	NA	unknown function
31002	NA	unknown function
31003	NA	unknown function
31004	NA	unknown function
31005	NA	unknown function
31006	NA	unknown function
31007	NA	unknown function
31008	NA	unknown function
31009	NA	unknown function
31010	NA	unknown function
31011	NA	unknown function
31012	NA	unknown function
31013	NA	unknown function
31014	NA	unknown function
31015	NA	unknown function
31016	NA	unknown function
31017	NA	unknown function
31018	NA	unknown function
31019	NA	unknown function
31020	NA	unknown function
31021	tail assembly chaperone	tail
31022	NA	unknown function
31023	NA	unknown function
31024	NA	unknown function
31025	NA	unknown function
31026	NA	unknown function
31027	NA	unknown function
31028	NA	unknown function
31029	NA	unknown function
31030	NA	unknown function
31031	NA	unknown function
31032	NA	unknown function
31033	NA	unknown function
31034	NA	unknown function
31035	NA	unknown function
31036	NA	unknown function
31037	NA	unknown function
31038	NA	unknown function
31039	NA	unknown function
31040	NA	unknown function
31041	NA	unknown function
31042	NA	unknown function
31043	NA	unknown function
31044	NA	unknown function
31045	NA	unknown function
31046	NA	unknown function
31047	NA	unknown function
31048	NA	unknown function
31049	NA	unknown function
31050	NA	unknown function
31051	NA	unknown function
31052	NA	unknown function
31053	NA	unknown function
31054	NA	unknown function
31055	NA	unknown function
31056	NA	unknown function
31057	NA	unknown function
31058	NA	unknown function
31059	NA	unknown function
31060	NA	unknown function
31061	NA	unknown function
31062	NA	unknown function
31063	NA	unknown function
31064	NA	unknown function
31065	NA	unknown function
31066	NA	unknown function
31067	NA	unknown function
31068	NA	unknown function
31069	FtsK/SpoIIIE-like protein	"moron, auxiliary metabolic gene and host takeover"
31070	NA	unknown function
31071	NA	unknown function
31072	NA	unknown function
31073	NA	unknown function
31074	NA	unknown function
31075	NA	unknown function
31076	NA	unknown function
31077	endolysin	lysis
31078	NA	unknown function
31079	NA	unknown function
31080	NA	unknown function
31081	NA	unknown function
31082	NA	unknown function
31083	NA	unknown function
31084	minor head protein	head and packaging
31085	NA	unknown function
31086	NA	unknown function
31087	NA	unknown function
31088	NA	unknown function
31089	NA	unknown function
31090	NA	unknown function
31091	NA	unknown function
31092	NA	unknown function
31093	Arc-like repressor	transcription regulation
31094	NA	unknown function
31095	NA	unknown function
31096	NA	unknown function
31097	NA	unknown function
31098	NA	unknown function
31099	NA	unknown function
31100	NA	unknown function
31101	NA	unknown function
31102	NA	unknown function
31103	NA	unknown function
31104	NA	unknown function
31105	NA	unknown function
31106	NA	unknown function
31107	NA	unknown function
31108	NA	unknown function
31109	NA	unknown function
31110	NA	unknown function
31111	NA	unknown function
31112	NA	unknown function
31113	NA	unknown function
31114	NA	unknown function
31115	replication initiation protein	"DNA, RNA and nucleotide metabolism"
31116	NA	unknown function
31117	NA	unknown function
31118	NA	unknown function
31119	NA	unknown function
31120	NA	unknown function
31121	NA	unknown function
31122	baseplate protein	tail
31123	NA	unknown function
31124	NA	unknown function
31125	NA	unknown function
31126	terminase small subunit	head and packaging
31127	NA	unknown function
31128	NA	unknown function
31129	NA	unknown function
31130	NA	unknown function
31131	NA	unknown function
31132	NA	unknown function
31133	NA	unknown function
31134	NA	unknown function
31135	NA	unknown function
31136	NA	unknown function
31137	NA	unknown function
31138	NA	unknown function
31139	NA	unknown function
31140	NA	unknown function
31141	NA	unknown function
31142	NA	unknown function
31143	NA	unknown function
31144	NA	unknown function
31145	NA	unknown function
31146	NA	unknown function
31147	NA	unknown function
31148	NA	unknown function
31149	NA	unknown function
31150	NA	unknown function
31151	NA	unknown function
31152	NA	unknown function
31153	NA	unknown function
31154	NA	unknown function
31155	NA	unknown function
31156	NA	unknown function
31157	NA	unknown function
31158	NA	unknown function
31159	NA	unknown function
31160	NA	unknown function
31161	NA	unknown function
31162	NA	unknown function
31163	NA	unknown function
31164	NA	unknown function
31165	NA	unknown function
31166	tail fiber protein	tail
31167	NA	unknown function
31168	NA	unknown function
31169	NA	unknown function
31170	NA	unknown function
31171	NA	unknown function
31172	NA	unknown function
31173	NA	unknown function
31174	NA	unknown function
31175	NA	unknown function
31176	NA	unknown function
31177	NA	unknown function
31178	NA	unknown function
31179	NA	unknown function
31180	NA	unknown function
31181	NA	unknown function
31182	NA	unknown function
31183	NA	unknown function
31184	NA	unknown function
31185	NA	unknown function
31186	NA	unknown function
31187	NA	unknown function
31188	NA	unknown function
31189	baseplate protein	tail
31190	NA	unknown function
31191	NA	unknown function
31192	NA	unknown function
31193	NA	unknown function
31194	NA	unknown function
31195	NA	unknown function
31196	NA	unknown function
31197	NA	unknown function
31198	NA	unknown function
31199	NA	unknown function
31200	NA	unknown function
31201	NA	unknown function
31202	NA	unknown function
31203	NA	unknown function
31204	NA	unknown function
31205	NA	unknown function
31206	NA	unknown function
31207	NA	unknown function
31208	NA	unknown function
31209	NA	unknown function
31210	NA	unknown function
31211	NA	unknown function
31212	NA	unknown function
31213	NA	unknown function
31214	NA	unknown function
31215	NA	unknown function
31216	NA	unknown function
31217	NA	unknown function
31218	NA	unknown function
31219	NA	unknown function
31220	NA	unknown function
31221	NA	unknown function
31222	NA	unknown function
31223	NA	unknown function
31224	NA	unknown function
31225	NA	unknown function
31226	NA	unknown function
31227	NA	unknown function
31228	NA	unknown function
31229	NA	unknown function
31230	NA	unknown function
31231	NA	unknown function
31232	NA	unknown function
31233	NA	unknown function
31234	NA	unknown function
31235	NA	unknown function
31236	NA	unknown function
31237	NA	unknown function
31238	NA	unknown function
31239	NA	unknown function
31240	NA	unknown function
31241	NA	unknown function
31242	NA	unknown function
31243	NA	unknown function
31244	NA	unknown function
31245	NA	unknown function
31246	NA	unknown function
31247	NA	unknown function
31248	NA	unknown function
31249	NA	unknown function
31250	NA	unknown function
31251	NA	unknown function
31252	NA	unknown function
31253	NA	unknown function
31254	NA	unknown function
31255	NA	unknown function
31256	NA	unknown function
31257	NA	unknown function
31258	NA	unknown function
31259	NA	unknown function
31260	NA	unknown function
31261	NA	unknown function
31262	NA	unknown function
31263	NA	unknown function
31264	NA	unknown function
31265	NA	unknown function
31266	NA	unknown function
31267	NA	unknown function
31268	NA	unknown function
31269	NA	unknown function
31270	NA	unknown function
31271	NA	unknown function
31272	pilot protein for DNA ejection	tail
31273	NA	unknown function
31274	NA	unknown function
31275	NA	unknown function
31276	NA	unknown function
31277	NA	unknown function
31278	NA	unknown function
31279	NA	unknown function
31280	NA	unknown function
31281	NA	unknown function
31282	NA	unknown function
31283	NA	unknown function
31284	NA	unknown function
31285	NA	unknown function
31286	NA	unknown function
31287	NA	unknown function
31288	NA	unknown function
31289	NA	unknown function
31290	NA	unknown function
31291	NA	unknown function
31292	NA	unknown function
31293	NA	unknown function
31294	NA	unknown function
31295	NA	unknown function
31296	NA	unknown function
31297	NA	unknown function
31298	NA	unknown function
31299	NA	unknown function
31300	NA	unknown function
31301	DNA binding protein	"DNA, RNA and nucleotide metabolism"
31302	NA	unknown function
31303	NA	unknown function
31304	NA	unknown function
31305	NA	unknown function
31306	virion structural protein	head and packaging
31307	tail protein	tail
31308	NA	unknown function
31309	NA	unknown function
31310	NA	unknown function
31311	NA	unknown function
31312	NA	unknown function
31313	NA	unknown function
31314	NA	unknown function
31315	NA	unknown function
31316	NA	unknown function
31317	NA	unknown function
31318	NA	unknown function
31319	NA	unknown function
31320	NA	unknown function
31321	NA	unknown function
31322	NA	unknown function
31323	NA	unknown function
31324	NA	unknown function
31325	NA	unknown function
31326	NA	unknown function
31327	NA	unknown function
31328	NA	unknown function
31329	NA	unknown function
31330	NA	unknown function
31331	NA	unknown function
31332	NA	unknown function
31333	NA	unknown function
31334	NA	unknown function
31335	NA	unknown function
31336	NA	unknown function
31337	NA	unknown function
31338	NA	unknown function
31339	NA	unknown function
31340	NA	unknown function
31341	NA	unknown function
31342	NA	unknown function
31343	NA	unknown function
31344	NA	unknown function
31345	NA	unknown function
31346	NA	unknown function
31347	NA	unknown function
31348	NA	unknown function
31349	NA	unknown function
31350	NA	unknown function
31351	NA	unknown function
31352	NA	unknown function
31353	NA	unknown function
31354	NA	unknown function
31355	NA	unknown function
31356	NA	unknown function
31357	NA	unknown function
31358	NA	unknown function
31359	NA	unknown function
31360	NA	unknown function
31361	NA	unknown function
31362	NA	unknown function
31363	NA	unknown function
31364	NA	unknown function
31365	NA	unknown function
31366	NA	unknown function
31367	NA	unknown function
31368	NA	unknown function
31369	NA	unknown function
31370	NA	unknown function
31371	NA	unknown function
31372	NA	unknown function
31373	NA	unknown function
31374	NA	unknown function
31375	NA	unknown function
31376	NA	unknown function
31377	NA	unknown function
31378	NA	unknown function
31379	NA	unknown function
31380	NA	unknown function
31381	NA	unknown function
31382	3'-5' exonuclease	"DNA, RNA and nucleotide metabolism"
31383	NA	unknown function
31384	NA	unknown function
31385	NA	unknown function
31386	NA	unknown function
31387	NA	unknown function
31388	NA	unknown function
31389	NA	unknown function
31390	NA	unknown function
31391	NA	unknown function
31392	NA	unknown function
31393	NA	unknown function
31394	NA	unknown function
31395	NA	unknown function
31396	NA	unknown function
31397	NA	unknown function
31398	NA	unknown function
31399	NA	unknown function
31400	NA	unknown function
31401	NA	unknown function
31402	NA	unknown function
31403	NA	unknown function
31404	NA	unknown function
31405	NA	unknown function
31406	NA	unknown function
31407	NA	unknown function
31408	NA	unknown function
31409	tail length tape measure protein	tail
31410	NA	unknown function
31411	NA	unknown function
31412	NA	unknown function
31413	NA	unknown function
31414	NA	unknown function
31415	NA	unknown function
31416	NA	unknown function
31417	NA	unknown function
31418	NA	unknown function
31419	NA	unknown function
31420	NA	unknown function
31421	NA	unknown function
31422	NA	unknown function
31423	NA	unknown function
31424	NA	unknown function
31425	NA	unknown function
31426	NA	unknown function
31427	NA	unknown function
31428	NA	unknown function
31429	NA	unknown function
31430	NA	unknown function
31431	NA	unknown function
31432	NA	unknown function
31433	NA	unknown function
31434	NA	unknown function
31435	NA	unknown function
31436	NA	unknown function
31437	NA	unknown function
31438	NA	unknown function
31439	NA	unknown function
31440	NA	unknown function
31441	NA	unknown function
31442	NA	unknown function
31443	NA	unknown function
31444	NA	unknown function
31445	NA	unknown function
31446	NA	unknown function
31447	NA	unknown function
31448	NA	unknown function
31449	NA	unknown function
31450	NA	unknown function
31451	NA	unknown function
31452	tail length tape measure protein	tail
31453	NA	unknown function
31454	NA	unknown function
31455	NA	unknown function
31456	NA	unknown function
31457	NA	unknown function
31458	NA	unknown function
31459	NA	unknown function
31460	tail protein	tail
31461	NA	unknown function
31462	NA	unknown function
31463	NA	unknown function
31464	NA	unknown function
31465	NA	unknown function
31466	NA	unknown function
31467	NA	unknown function
31468	NA	unknown function
31469	NA	unknown function
31470	NA	unknown function
31471	NA	unknown function
31472	NA	unknown function
31473	NA	unknown function
31474	NA	unknown function
31475	NA	unknown function
31476	NA	unknown function
31477	NA	unknown function
31478	NA	unknown function
31479	NA	unknown function
31480	NA	unknown function
31481	NA	unknown function
31482	NA	unknown function
31483	NA	unknown function
31484	NA	unknown function
31485	NA	unknown function
31486	NA	unknown function
31487	NA	unknown function
31488	NA	unknown function
31489	head maturation protease	head and packaging
31490	NA	unknown function
31491	NA	unknown function
31492	NA	unknown function
31493	NA	unknown function
31494	NA	unknown function
31495	NA	unknown function
31496	transcriptional regulator	transcription regulation
31497	NA	unknown function
31498	NA	unknown function
31499	NA	unknown function
31500	NA	unknown function
31501	NA	unknown function
31502	NA	unknown function
31503	NA	unknown function
31504	NA	unknown function
31505	NA	unknown function
31506	NA	unknown function
31507	NA	unknown function
31508	NA	unknown function
31509	NA	unknown function
31510	NA	unknown function
31511	NA	unknown function
31512	NA	unknown function
31513	NA	unknown function
31514	NA	unknown function
31515	NA	unknown function
31516	NA	unknown function
31517	NA	unknown function
31518	NA	unknown function
31519	NA	unknown function
31520	NA	unknown function
31521	NA	unknown function
31522	NA	unknown function
31523	NA	unknown function
31524	NA	unknown function
31525	NA	unknown function
31526	NA	unknown function
31527	NA	unknown function
31528	NA	unknown function
31529	NA	unknown function
31530	NA	unknown function
31531	NA	unknown function
31532	NA	unknown function
31533	NA	unknown function
31534	NA	unknown function
31535	NA	unknown function
31536	NA	unknown function
31537	NA	unknown function
31538	NA	unknown function
31539	NA	unknown function
31540	NA	unknown function
31541	NA	unknown function
31542	NA	unknown function
31543	NA	unknown function
31544	NA	unknown function
31545	NA	unknown function
31546	NA	unknown function
31547	NA	unknown function
31548	NA	unknown function
31549	NA	unknown function
31550	NA	unknown function
31551	NA	unknown function
31552	NA	unknown function
31553	NA	unknown function
31554	NA	unknown function
31555	NA	unknown function
31556	NA	unknown function
31557	NA	unknown function
31558	NA	unknown function
31559	NA	unknown function
31560	NA	unknown function
31561	NA	unknown function
31562	NA	unknown function
31563	NA	unknown function
31564	NA	unknown function
31565	NA	unknown function
31566	NA	unknown function
31567	NA	unknown function
31568	NA	unknown function
31569	NA	unknown function
31570	NA	unknown function
31571	NA	unknown function
31572	NA	unknown function
31573	NA	unknown function
31574	NA	unknown function
31575	NA	unknown function
31576	NA	unknown function
31577	NA	unknown function
31578	NA	unknown function
31579	NA	unknown function
31580	NA	unknown function
31581	NA	unknown function
31582	NA	unknown function
31583	NA	unknown function
31584	NA	unknown function
31585	NA	unknown function
31586	NA	unknown function
31587	NA	unknown function
31588	NA	unknown function
31589	NA	unknown function
31590	NA	unknown function
31591	HTH DNA binding protein	"DNA, RNA and nucleotide metabolism"
31592	NA	unknown function
31593	NA	unknown function
31594	NA	unknown function
31595	NA	unknown function
31596	NA	unknown function
31597	NA	unknown function
31598	NA	unknown function
31599	NA	unknown function
31600	NA	unknown function
31601	NA	unknown function
31602	virion structural protein	head and packaging
31603	terminase	head and packaging
31604	transcriptional regulator WhiB-like	transcription regulation
31605	NA	unknown function
31606	NA	unknown function
31607	NA	unknown function
31608	NA	unknown function
31609	NA	unknown function
31610	NA	unknown function
31611	tail collar protein	tail
31612	NA	unknown function
31613	NA	unknown function
31614	NA	unknown function
31615	NA	unknown function
31616	NA	unknown function
31617	NA	unknown function
31618	NA	unknown function
31619	NA	unknown function
31620	NA	unknown function
31621	NA	unknown function
31622	NA	unknown function
31623	NA	unknown function
31624	NA	unknown function
31625	NA	unknown function
31626	NA	unknown function
31627	NA	unknown function
31628	NA	unknown function
31629	NA	unknown function
31630	NA	unknown function
31631	NA	unknown function
31632	NA	unknown function
31633	NA	unknown function
31634	NA	unknown function
31635	NA	unknown function
31636	NA	unknown function
31637	NA	unknown function
31638	NA	unknown function
31639	NA	unknown function
31640	NA	unknown function
31641	NA	unknown function
31642	NA	unknown function
31643	NA	unknown function
31644	NA	unknown function
31645	NA	unknown function
31646	NA	unknown function
31647	NA	unknown function
31648	NA	unknown function
31649	NA	unknown function
31650	NA	unknown function
31651	NA	unknown function
31652	NA	unknown function
31653	NA	unknown function
31654	NA	unknown function
31655	NA	unknown function
31656	NA	unknown function
31657	NA	unknown function
31658	NA	unknown function
31659	NA	unknown function
31660	tail fiber protein	tail
31661	NA	unknown function
31662	NA	unknown function
31663	NA	unknown function
31664	NA	unknown function
31665	NA	unknown function
31666	NA	unknown function
31667	NA	unknown function
31668	NA	unknown function
31669	NA	unknown function
31670	NA	unknown function
31671	NA	unknown function
31672	NA	unknown function
31673	NA	unknown function
31674	NA	unknown function
31675	NA	unknown function
31676	NA	unknown function
31677	NA	unknown function
31678	NA	unknown function
31679	NA	unknown function
31680	NA	unknown function
31681	NA	unknown function
31682	NA	unknown function
31683	NA	unknown function
31684	NA	unknown function
31685	NA	unknown function
31686	NA	unknown function
31687	NA	unknown function
31688	NA	unknown function
31689	NA	unknown function
31690	NA	unknown function
31691	NA	unknown function
31692	terminase large subunit	head and packaging
31693	NA	unknown function
31694	NA	unknown function
31695	NA	unknown function
31696	NA	unknown function
31697	NA	unknown function
31698	NA	unknown function
31699	NA	unknown function
31700	NA	unknown function
31701	NA	unknown function
31702	NA	unknown function
31703	NA	unknown function
31704	NA	unknown function
31705	NA	unknown function
31706	NA	unknown function
31707	NA	unknown function
31708	NA	unknown function
31709	NA	unknown function
31710	NA	unknown function
31711	NA	unknown function
31712	NA	unknown function
31713	NA	unknown function
31714	NA	unknown function
31715	NA	unknown function
31716	NA	unknown function
31717	NA	unknown function
31718	NA	unknown function
31719	NA	unknown function
31720	NA	unknown function
31721	NA	unknown function
31722	NA	unknown function
31723	NA	unknown function
